number,station,network,market,display
2,WCBS,CBS,New York,WCBS CBS New York
4,WNBC,NBC,New York,WNBC NBC New York
5,WNYW,FOX,New York,WNYW FOX New York
7,WABC,ABC,New York,WABC ABC New York
9,WWOR,MyNetworkTV,New York,WWOR MyNetworkTV New York
11,WPIX,CW,New York,WPIX CW New York
13,WNET,PBS,New York,WNET PBS New York
16,WNEP,ABC,Scranton/Wilkes-Barre,WNEP ABC Scranton/Wilkes-Barre
22,WYOU,CBS,Scranton/Wilkes-Barre,WYOU CBS Scranton/Wilkes-Barre
28,WBRE,NBC,Scranton/Wilkes-Barre,WBRE NBC Scranton/Wilkes-Barre
38,WSWB,CW,Scranton/Wilkes-Barre,WSWB CW Scranton/Wilkes-Barre
44,WVIA,PBS,Scranton/Wilkes-Barre,WVIA PBS Scranton/Wilkes-Barre
53,WQMY,MyNetworkTV,Scranton/Wilkes-Barre,WQMY MyNetworkTV Scranton/Wilkes-Barre
56,WOLF,FOX,Scranton/Wilkes-Barre,WOLF FOX Scranton/Wilkes-Barre
