name,group,url,enabled
Sports,Sports,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/Sports,true
MLB,MLB,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/MLB,true
NFL,NFL,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/NFL,true
NHL,NHL,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/NHL,true
NBA,NBA,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/NBA,true
XXX,XXX,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/XXX,true
NBC,NBC,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/NBC,true
CBS,CBS,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/CBS,true
ABC,ABC,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/ABC,true
FOX,FOX,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/FOX,true
MY,MY,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/MY,true
CW,CW,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/CW,true
Movies,Movies,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/Movies,true
Entertainment,Entertainment,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/Entertainment,true
PBS,PBS,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/PBS,true
PPV,PPV,https://example.invalid/iptv/ACCOUNT_ID/API_TOKEN/PPV,true
